CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV,,,
,NO,0,0,0,0,0,1,2,7,0,0,0,0,0,1312.7,0.38,0,0,0,0,0,400,,,
,N,0,0,0,0,0,0,1,0,0,1,0,3,0,744,0.335,0,0,0,0,0,400,,,
,NE,0,2,0,0,0,0,4,17,0,1,0,10,0,4196.32,0.405,0,0,3,0,0,400,,,
,OCC,0,1,0,1,1,5,5,43,0,5,13,27,1,5636,0.905,0,0,9,1,0,400,,,
,C,0,0,0,0,0,0,0,27,0,2,1,5,0,3459,0.505,0,0,5,0,0,400,,,
,OR,0,2,4,0,0,2,2,43,0,2,8,6,3,4944,0.73,0,0,14,0,0,400,,,
,SE,0,0,0,0,2,12,5,39,0,0,0,3,4,2521.71,1.29,0,0,15,0,0,400,,,
,PEN,0,0,0,0,0,4,0,7,0,0,0,4,0,822,0.91,0,0,0,0,0,400,,,
,BC,0,0,0,1,1,0,4,1,0,2,0,8,0,1526.12,0.555,0,0,0,0,0,230,,,
,NO,0,0,0,0,1,2,19,15,0,3,1,3,3,5513.87,0.41,0,0,4,0,0,230,,,
,N,0,0,1,0,0,2,9,10,0,0,0,3,0,4979,0.25,0,0,3,0,0,230,,,
,NE,0,0,0,2,1,2,14,9,0,0,0,0,0,1729.52,0.81,0,0,5,1,0,230,,,
,OCC,0,0,2,1,1,3,13,29,0,1,0,6,1,4102.6,0.695,0,0,6,1,0,230,,,
,C,0,0,0,0,0,7,2,32,0,0,2,6,0,3431,0.715,0,0,7,0,0,230,,,
,OR,0,0,0,1,1,1,10,25,0,0,7,4,1,1592.76,1.57,0,0,9,0,0,230,,,
,SE,1,0,0,0,0,7,2,25,0,1,0,5,0,1682.6,1.22,0,0,11,0,0,230,,,
,PEN,0,3,1,0,0,7,0,39,0,2,1,12,5,2441,0.935,0,0,8,0,0,230,,,
,BC,0,0,1,3,0,0,0,0,0,3,0,0,0,404.83,0.865,0,0,0,0,0,161,,,
,OCC,0,0,0,0,0,0,1,7,0,0,0,0,0,145,2.76,0,0,0,0,0,161,,,
,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,156.26,0,0,0,0,0,0,138,,,
,BC,0,3,0,2,2,0,9,11,0,1,0,0,0,1502.65,0.885,0,0,0,0,0,115,,,
,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,316.42,0,0,0,0,0,0,115,,,
,N,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,115,,,
,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,30.27,0.33,0,0,0,0,0,115,,,
,OCC,0,0,0,0,0,0,0,0,0,1,0,0,0,152,0,0,0,1,0,0,115,,,
,C,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,115,,,
,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,115,,,
,SE,0,0,0,0,0,0,0,3,0,0,0,0,0,512.06,0.445,0,0,1,0,0,115,,,
,PEN,0,2,3,1,0,7,9,112,0,6,1,1,6,2659,2.785,0,0,12,5,0,115,,,
,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,69,,,
,NO,0,0,0,0,0,1,1,0,0,0,0,0,0,1312.7,0.08,0,0,0,0,0,400,,,
,N,0,0,0,0,0,0,1,0,0,1,0,2,1,744,0.335,0,0,0,0,0,400,,,
,NE,0,2,0,0,0,0,4,2,0,2,0,8,0,4193.92,0.21,0,0,1,0,0,400,,,
,OCC,0,1,1,0,1,2,2,3,0,2,17,22,1,5636,0.46,0,0,3,0,0,400,,,
,C,0,0,0,0,0,0,0,6,0,0,1,5,0,3453,0.17,0,0,2,0,0,400,,,
,OR,0,0,2,0,0,1,1,3,0,2,8,6,3,4944,0.26,0,0,2,0,0,400,,,
,SE,0,0,0,0,0,7,1,4,0,0,0,3,1,2521.71,0.32,0,0,4,0,0,400,,,
,PEN,0,0,0,0,0,1,0,0,0,0,0,4,0,822,0.35,0,0,0,0,0,400,,,
,BC,0,0,0,0,0,0,2,0,0,1,0,7,0,1526.12,0.325,0,0,0,0,0,230,,,
,NO,0,0,0,0,0,0,11,0,0,1,0,1,0,5500.82,0.12,0,0,1,0,0,230,,,
,N,0,0,1,0,0,0,3,1,0,0,0,3,1,4941,0.09,0,0,0,0,0,230,,,
,NE,0,0,0,1,1,1,6,4,0,0,0,0,0,1729.5,0.375,0,0,1,1,0,230,,,
,OCC,0,0,2,0,0,2,5,0,0,0,0,5,2,4070.5,0.195,0,0,0,1,0,230,,,
,C,0,0,0,0,0,1,0,3,0,0,1,4,0,3431,0.13,0,0,2,0,0,230,,,
,OR,0,1,0,1,1,1,6,4,0,1,6,4,0,1592.76,0.785,0,0,2,0,0,230,,,
,SE,1,0,0,0,0,5,1,7,0,1,0,3,0,1682.6,0.535,0,0,3,0,0,230,,,
,PEN,0,3,1,0,0,2,0,0,0,1,1,12,1,2441,0.43,0,0,1,0,0,230,,,
,BC,0,0,0,2,0,0,0,0,0,0,0,0,0,404,0.25,0,0,0,0,0,161,,,
,OCC,0,0,0,0,0,0,0,3,0,0,0,0,0,145,1.035,0,0,0,0,0,161,,,
,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,156.26,0,0,0,0,0,0,138,,,
,BC,0,0,0,0,0,0,4,0,0,0,0,0,0,1502.65,0.13,0,0,0,0,0,115,,,
,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,316.42,0,0,0,0,0,0,115,,,
,N,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,115,,,
,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,30.27,0,0,0,0,0,0,115,,,
,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,1,0,0,115,,,
,C,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,115,,,
,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,115,,,
,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,512.06,0,0,0,0,0,0,115,,,
,PEN,0,2,0,0,0,1,7,4,0,0,1,1,2,2659,0.34,0,0,1,0,0,115,,,
,OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,69,,,
A3Q10,SE,0,0,0,0,0,1,0,3,0,0,0,0,0,154.73,2.59,0,0,0,0,0,400,,,
A3Q10,PEN,0,0,0,0,0,2,0,1,0,0,0,0,0,143,2.1,0,0,0,0,0,400,,,
