GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,E0,E1,E2,E3,E4,IO,KM,KV
NO,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0.53,1312.7,400
N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.13,744,400
NE,0,2,0,0,0,0,0,9,0,1,0,7,0,0,0,3,0,0,0.45,4196.32,400
OCC,0,0,0,1,1,3,3,22,0,1,8,3,0,0,0,9,1,0,0.75,5636,400
C,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,5,0,0,0.52,3459,400
OR,0,0,3,0,0,1,2,28,0,1,6,2,1,0,0,14,0,0,0.89,4948.81,400
SE,0,0,0,0,1,7,3,13,0,0,0,1,4,0,0,15,0,0,1.15,2521.71,400
PEN,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0.85,822,400
BC,0,0,0,1,1,0,2,1,0,2,0,3,0,0,0,3,0,0,0.65,1547.53,230
NO,0,0,0,0,0,2,8,6,0,1,1,1,2,0,0,3,0,0,0.35,5918.84,230
N,0,0,1,0,0,1,4,5,0,0,0,1,0,0,0,1,0,0,0.24,5088.2,230
NE,0,0,0,0,1,1,8,4,0,0,0,0,0,0,0,0,1,0,0.81,1729.52,230
OCC,0,0,0,1,1,3,6,9,0,0,0,5,0,0,0,5,1,0,0.61,4102.6,230
C,0,0,0,0,0,5,2,15,0,0,1,3,0,0,0,3,0,0,0.76,3439.5,230
OR,0,0,0,0,1,1,4,16,0,0,5,0,0,0,0,0,0,0,1.7,1592.76,230
SE,1,0,0,0,0,1,0,11,0,0,0,2,0,0,0,2,0,0,0.89,1682.91,230
PEN,0,3,0,0,0,4,0,11,0,1,0,1,3,0,0,4,0,0,0.94,2441,230
BC,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.99,404.83,161
OCC,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4.14,145,161
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.26,138
BC,0,3,0,2,2,0,4,7,0,0,0,0,0,0,0,0,0,0,1.1,1639.2,115
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.42,115
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,115
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,30.27,115
OCC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,152,115
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,115
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,115
SE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.2,512.06,115
PEN,0,0,2,1,0,6,6,43,0,3,0,0,2,0,0,12,5,0,2.37,2659,115
OCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69
