NAME,AB,ST,EHG,AP,CHCH,BC,CIM,PCI,DES,EST,LC,FA,CAA,CEXA,CHC,CHH,CAMG,COND,CECN,SEP,CE,BRE,ACC,COM,NOMS,T,LT,KM,FALLA,TIPO,DESC,OBS,CORR,TipoFALLA
1,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
2,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
3,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
4,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
5,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
6,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
7,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
8,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
9,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
10,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
11,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
12,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
13,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
14,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
15,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
16,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
17,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
18,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
19,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
20,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
21,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
22,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
23,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
24,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
25,6,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.894,93020,,,,,,,
26,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
27,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
28,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
29,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
30,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
31,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
32,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
33,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,,,,,,,
34,10,10,10,10,10,10,8,10,10,8,10,10,10,10,8,8,10,10,10,10,10,8,10,10,4,0.934,93020,13.220,15/5/2015,B0= DESCARGA ATMOSFERICA,SE ENCONTRÓ FALMEO DE EVIDENCIA DEL ARCO ELÉCTRICO EN CADENA DE AISLAMIENTO DE LA FASE “A” EN LA ESTRUCTURA NO. 34.,,15/5/2015,1
